Date,Total Revenue,DA Revenue,RT Revenue,Final SOC
2024-08-06,31976.353070041663,31774.299716717804,202.05335332385812,0.10000025765407505
2024-08-07,13942.29680091051,20355.86099512525,-6413.564194214742,0.10000027752800465
2024-08-08,4993.334738297905,14584.19836550322,-9590.863627205315,0.10000051746128544
2024-08-09,4420.7496384188635,1845.75002108859,2574.9996173302734,0.100010059711838
2024-08-10,2184.7813998965003,-163.00000169047325,2347.7814015869735,0.10000292511093634
2024-08-11,2929.5011352823594,8326.547756458585,-5397.046621176226,0.10000042170490657
2024-08-12,1582.4471705502306,3029.4104072002374,-1446.9632366500068,0.10001858810181027
2024-08-13,1538.1049869385333,3161.8917241320814,-1623.786737193548,0.10000895376607126
2024-08-14,2721.5838129917656,2991.250030398266,-269.66621740650066,0.1000075852435705
2024-08-15,8004.48418616456,5888.250056808209,2116.2341293563513,0.10000599477719595
